# How the discipline got here. Dates are the entry's sort key; unlinked on purpose.
#source: seed
#cols: name	href	note	meta	era
Émile Cohl, Fantasmagorie		Widely treated as the first fully animated film: drawn line, no photography of objects.	1908	Origins
Walther Ruttmann and Viking Eggeling		Abstract film in Germany: motion as composition rather than as story.	1920s	Origins
Oskar Fischinger		Visual music. Shape and colour cut to sound, decades before anyone said "motion graphics".	1930s	Origins
Len Lye, direct animation		Painting and scratching straight onto film stock. The first camera-less motion design.	1930s	Origins
Norman McLaren at the NFB		Drawn sound, pixilation, and a lifetime of technique invented per film.	1940s	Origins
Saul Bass, title sequences		Title design becomes authored work: Anatomy of a Murder, Vertigo, North by Northwest.	1950s	Broadcast era
Pablo Ferro		Fast-cut, hand-lettered titles. Dr. Strangelove set the template for kinetic type.	1960s	Broadcast era
John Whitney, analogue computing		Mechanical computers driving film cameras. The direct ancestor of procedural motion.	1960s	Broadcast era
MTV launches		A whole channel of identity design. Motion graphics becomes an industry with clients.	1981	Broadcast era
Adobe Photoshop ships		The raster foundation everything else in the pipeline assumed.	1990	Desktop era
CoSA After Effects 1.0		Compositing and keyframing on a desktop. The tool that defined the job title.	1993	Desktop era
Cinema 4D on desktop		Accessible 3D for designers, and later MoGraph: procedural motion without scripting.	1990s	Desktop era
Kyle Cooper, Se7en titles		Title design as graphic authorship again, and the start of the modern title sequence.	1995	Desktop era
The Matrix and bullet time		Effects language leaks into commercial motion work for a decade.	1999	Desktop era
Motionographer founded		The field gets a public record, a critical voice, and a job board.	2000s	Studio era
Vimeo becomes the reel	 	Portfolio distribution moves from showreels on tape to a public URL.	2000s	Studio era
Blender goes open source		A free, complete 3D pipeline. Two decades later it is a real production option.	2002	Studio era
School of Motion opens		Structured motion education outside universities. Bootcamps, cohorts, feedback.	2013	Open era
Lottie released		Vector animation ships into apps at any resolution. UI motion becomes a discipline.	2017	Open era
Rive and real-time motion		Interactive, state-driven animation designed once and run live in product.	2020s	Open era
Real-time and generative		Unreal, TouchDesigner and shader work move from experiment to client deliverable.	2020s	Open era
Generative AI arrives		The tools change weekly. Judgement, taste and direction become the scarce part.	2020s	Open era
