# Where to submit, and where to watch. Deadlines move every year — check before you plan.
# SEEDED, NOT VERIFIED — run `node scripts/directory/check-links.mjs awards` before trusting the links.
#source: seed
#cols: name	href	note	kind
Vimeo Staff Picks	https://vimeo.com/channels/staffpicks	Free to be considered. Upload well, tag properly, and hope.	Free
FWA	https://thefwa.com/submit	Daily, Site of the Month, Site of the Year. Paid entry.	Paid
Awwwards	https://www.awwwards.com/submit/	Site of the Day upward. Paid, fast turnaround.	Paid
D&AD	https://www.dandad.org/	Pencils. Expensive, slow, and the one that still means something.	Paid
The One Show	https://www.oneshow.org/	ADC and One Show, run by The One Club.	Paid
Clio Awards	https://clios.com/	Advertising-leaning, with a real motion and craft presence.	Paid
Cannes Lions	https://www.canneslions.com/	The advertising festival. Agency budgets territory.	Paid
Webby Awards	https://www.webbyawards.com/	Internet-wide, including video and motion categories.	Paid
Annecy	https://www.annecyfestival.com/	The animation festival. Film-leaning, but the bar is the bar.	Festival
SIGGRAPH	https://www.siggraph.org/	Computer graphics research and the Electronic Theater.	Festival
Pictoplasma	https://www.pictoplasma.com/	Character design and animation, Berlin.	Festival
OFFF	https://offf.barcelona/	Barcelona. Talks more than awards, but the reason many people go.	Festival
Semi Permanent	https://semipermanent.com/	Sydney and beyond. Design and motion talks worth travelling for.	Festival
Us By Night	https://usbynight.be/	Antwerp. Loud, late, and good.	Festival
Forward Festival	https://www.forward-festival.com/	Roaming European design festival.	Festival
