# The vocabulary. Plain definitions, no links: the point is to stop bluffing in briefs.
#source: seed
#cols: name	href	note	subject
Timing		How long an action takes. The single biggest lever on how something feels.	Principle
Spacing		How far a thing moves between frames. Timing says how long, spacing says how fast it feels.	Principle
Easing		The curve that describes acceleration in and out of a move. Linear reads as mechanical.	Principle
Anticipation		A small move opposite to the main action, so the eye is ready for it.	Principle
Follow-through		Parts of an object that keep moving after the main mass stops.	Principle
Overlap		Different parts arriving at different times, instead of everything landing on one frame.	Principle
Squash and stretch		Deforming a shape to sell weight and impact while preserving volume.	Principle
Arcs		Natural movement travels on curves, not straight lines.	Principle
Staging		Composing the frame so the audience looks at the one thing that matters.	Principle
Secondary action		A supporting move that enriches the main one without competing with it.	Principle
Exaggeration		Pushing past the literal to make the read clearer, not merely louder.	Principle
Appeal		Whether the thing is pleasant to look at. Vague, unfashionable, and real.	Principle
Weight		The impression of mass, communicated almost entirely through timing and easing.	Principle
Keyframe		A recorded value at a point in time. Everything between them is interpolated.	Craft
Interpolation		How the software fills the frames between keyframes: linear, bezier, hold.	Craft
Graph editor		Where you edit the speed and value curves directly, rather than guessing at handles.	Craft
Hold		A keyframe with no interpolation: the value jumps. The basis of frame-by-frame in a keyframed tool.	Craft
Onion skinning		Seeing neighbouring frames faintly, so you can draw or place against them.	Craft
Loop		An animation whose last frame flows into its first. Seamlessness is a timing problem.	Craft
Cel animation		Frame-by-frame drawing, named for the transparent celluloid sheets it used to need.	Craft
Rigging		Building controls onto artwork so it can be posed and animated without redrawing.	Craft
Parenting		Attaching one layer's transform to another so it inherits the movement.	Craft
Null object		An invisible layer that exists only to be parented to and animated.	Craft
Expression		A small script driving a property, so motion is computed rather than keyframed.	Craft
Precomp		A composition nested inside another. The main tool for keeping a project sane.	Craft
Matte		A layer used to define what is visible in another layer.	Craft
Track matte		Using one layer's alpha or luminance to cut out another.	Craft
Alpha channel		The transparency information carried alongside colour.	Craft
Compositing		Combining separate rendered elements into one convincing image.	Craft
Rotoscoping		Tracing or masking footage frame by frame to isolate part of it.	Craft
Motion tracking		Extracting movement from footage so new elements can be attached to it.	Craft
Styleframe		A single still that establishes the look of a sequence before anything moves.	Process
Storyboard		The shot-by-shot plan. Cheaper to fix here than anywhere downstream.	Process
Animatic		The storyboard cut to timing, usually with scratch audio. The first honest look at pace.	Process
Boardomatic		An animatic built straight from boards, before any animation exists.	Process
Pitch deck		The document that sells the direction. Often the actual deliverable of week one.	Process
Frame rate		Frames per second. 24 for film feel, 25 or 30 for broadcast, 60 for interfaces.	Technical
Resolution		Pixel dimensions of the frame. Not the same thing as quality.	Technical
Aspect ratio		The frame's proportions. 16:9, 1:1, 9:16: plan for all three from the start.	Technical
Codec		How the video is compressed. ProRes to edit, H.264 to deliver, rarely both.	Technical
Bit depth		How many values each colour channel can hold. 8-bit banding is the usual symptom.	Technical
Colour space		The defined range of colour a file describes: sRGB, Rec.709, and the source of most mismatches.	Technical
Render		Turning the project into frames. Also the thing that always takes longer than the estimate.	Technical
Lottie		A JSON format that carries vector animation into apps and the web at any size.	Technical
Dithering		Trading colour depth for texture with a pattern of pixels. The club's house look.	Technical
Procedural		Motion generated by rules and parameters rather than by hand-set keyframes.	Technical
